# DistrPoint:Pointing with distractors
# MT:Movement time
# HIT:Success
# inPractice:practice block
# A:Target Amplitude
# W:Target Width
# D:Distractor Density
# HitDistractor:Press on a distractor
# HitBG:Press on background
# Mouse.x:
# Mouse.y:
# Mouse.Left:
# Date: 2013-03-22-11-33-24
# Participant: S0
block	trial	MT	HIT	inPractice	A	W	D	HitDistractor	HitBG	Mouse.x	Mouse.y	Mouse.Left	
Integer	String	String	Integer	Integer	String	Integer	Integer	Integer	Integer	Integer	
1	3	319	null	true	400	20	low	0	0	915.0	602.0	0.0
1	3	327	null	true	400	20	low	0	0	915.0	604.0	0.0
1	3	335	null	true	400	20	low	0	0	915.0	610.0	0.0
1	3	343	null	true	400	20	low	0	0	915.0	620.0	0.0
1	3	351	null	true	400	20	low	0	0	915.0	627.0	0.0
1	3	359	null	true	400	20	low	0	0	916.0	628.0	0.0
1	3	367	null	true	400	20	low	0	0	917.0	629.0	0.0
1	3	375	null	true	400	20	low	0	0	918.0	632.0	0.0
1	3	383	null	true	400	20	low	0	0	919.0	635.0	0.0
1	3	391	null	true	400	20	low	0	0	920.0	639.0	0.0
1	3	399	null	true	400	20	low	0	0	921.0	641.0	0.0
1	3	407	null	true	400	20	low	0	0	924.0	644.0	0.0
1	3	415	null	true	400	20	low	0	0	926.0	647.0	0.0
1	3	423	null	true	400	20	low	0	0	927.0	649.0	0.0
1	3	431	null	true	400	20	low	0	0	928.0	650.0	0.0
1	3	439	null	true	400	20	low	0	0	929.0	651.0	0.0
1	3	455	null	true	400	20	low	0	0	930.0	652.0	0.0
1	3	463	null	true	400	20	low	0	0	932.0	653.0	0.0
1	3	471	null	true	400	20	low	0	0	934.0	654.0	0.0
1	3	479	null	true	400	20	low	0	0	936.0	655.0	0.0
1	3	487	null	true	400	20	low	0	0	940.0	659.0	0.0
1	3	495	null	true	400	20	low	0	0	942.0	661.0	0.0
1	3	503	null	true	400	20	low	0	0	950.0	666.0	0.0
1	3	511	null	true	400	20	low	0	0	960.0	672.0	0.0
1	3	519	null	true	400	20	low	0	0	970.0	679.0	0.0
1	3	527	null	true	400	20	low	0	0	974.0	680.0	0.0
1	3	535	null	true	400	20	low	0	0	979.0	680.0	0.0
1	3	543	null	true	400	20	low	0	0	984.0	680.0	0.0
1	3	551	null	true	400	20	low	0	0	986.0	680.0	0.0
1	3	559	null	true	400	20	low	0	0	988.0	680.0	0.0
1	3	591	null	true	400	20	low	0	0	989.0	679.0	0.0
1	3	607	null	true	400	20	low	0	0	990.0	678.0	0.0
1	3	615	null	true	400	20	low	0	0	991.0	677.0	0.0
1	3	623	null	true	400	20	low	0	0	991.0	675.0	0.0
1	3	631	null	true	400	20	low	0	0	991.0	673.0	0.0
1	3	647	null	true	400	20	low	0	0	991.0	671.0	0.0
1	3	655	null	true	400	20	low	0	0	992.0	670.0	0.0
1	3	663	null	true	400	20	low	0	0	993.0	669.0	0.0
1	3	735	null	true	400	20	low	0	0	993.0	667.0	0.0
1	3	759	null	true	400	20	low	0	0	993.0	665.0	0.0
1	3	775	null	true	400	20	low	0	0	992.0	664.0	0.0
1	3	847	null	true	400	20	low	0	0	990.0	664.0	0.0
1	3	959	null	true	400	20	low	0	0	988.0	664.0	0.0
1	4	0	null	true	400	20	low	0	0	988.0	664.0	1.0
1	4	111	null	true	400	20	low	0	0	988.0	664.0	0.0
1	4	175	null	true	400	20	low	0	0	987.0	663.0	0.0
1	4	183	null	true	400	20	low	0	0	985.0	660.0	0.0
